Project ID,Project Name,Owner,Address,City/State,Latitude,Longitude,Total GLA,Year Built,Lot Size Acres,Parking Count,Parking Ratio / 1000 SF,Tenant Count,Tenant Count 0-3k,Tenant Count 3k-10k,Tenant Count 10k+,Grocery Tenant,Grocery SF,Grocery % GLA,Food,Food %,Hard Goods,Hard Goods %,Service,Service %,Soft Goods,Soft Goods %,Other,Other %,Vacancy,Vacancy %,Source Demographic Radius,5-Mile Population,5-Mile Income,3-Mile Population,3-Mile Income,ADT,Annual Visits,PDF File,PDF Path,Site Plan Page,Site Plan Image Path
BRX030,Shops of Huntcrest,Brixmor,"1030-1032 Old Peachtree Road, NW | Lawrenceville, GA 30043","Lawrenceville, GA",33.9991,-84.0684,97040,,,,,22,22,3,0,,0,0,9100,9.377576257,0,0,9550,9.841302555647156,2500,2.576257213520198,15475,15.947032151690024,6075,6.260305028854081,,,,,,,,Shops of Huntcrest - Property Brochure.pdf,pdfs/Shops of Huntcrest - Property Brochure.pdf,2,site_plan_images/brx030-shops-of-huntcrest-site-plan.png
BRX031,Silver Lake,Brixmor,"18085 Silver Pkwy | Fenton, MI 48430","Fenton, MI",42.7928,-83.7393,78418,,,,,5,2,2,1,,0,0,0,0,0,0,0,0,2400,3.0605218189701344,74902,95.51633553520875,0,0,,,,,,,,Silver Lake - Property Brochure.pdf,pdfs/Silver Lake - Property Brochure.pdf,2,site_plan_images/brx031-silver-lake-site-plan.png
BRX032,Slater Street,Brixmor,"110 Slater St | Manchester, CT 06042","Manchester, CT",41.8078,-72.5357,51370,,,,,6,1,3,2,,0,0,7342,14.292388553630522,10888,21.19525014599961,4640,9.032509247,20000,38.93322951138797,8500,16.546622542339886,0,0,,,,,,,,Slater Street - Property Brochure.pdf,pdfs/Slater Street - Property Brochure.pdf,2,site_plan_images/brx032-slater-street-site-plan.png
BRX033,South Plaza Shopping Center,Brixmor,"45205-45250 Worth Avenue | California, MD 20619","California, MD",38.2972,-76.5102,92335,,,,,4,0,0,4,,0,0,0,0,13800,14.945578599664266,0,0,43800,47.435966859803976,20000,21.66025884009314,0,0,,,,,,,,South Plaza Shopping Center - Property Brochure.pdf,pdfs/South Plaza Shopping Center - Property Brochure.pdf,2,site_plan_images/brx033-south-plaza-shopping-center-site-plan.png
BRX034,Stratford Commons,Brixmor,"150 Stratford Commons Court | Winston-Salem, NC 27103","Winston-Salem, NC",36.0669,-80.3048,72308,,,,,3,0,3,3,,0,0,0,0,0,0,0,0,15000,20.744592576201804,27250,37.68600984676661,30058,41.56939757703159,,,,,,,,Stratford Commons - Property Brochure.pdf,pdfs/Stratford Commons - Property Brochure.pdf,2,site_plan_images/brx034-stratford-commons-site-plan.png
BRX035,Sweetwater Village,Brixmor,"3030 Bankhead Highway | Austell, GA 30168","Austell, GA",33.798,-84.6411,66197,,,,,11,10,1,2,Food Depot,38547,58.230735531821686,39747,60.04350650331586,10950,16.541535114884358,3200,4.834055923984471,4700,7.100019638352191,4950,7.477680257413478,2650,4.003202562,,,,,,,,Sweetwater Village - Property Brochure.pdf,pdfs/Sweetwater Village - Property Brochure.pdf,2,site_plan_images/brx035-sweetwater-village-site-plan.png
BRX036,The Fresh Market Shoppes,Brixmor,"890 William Hilton Parkway | Hilton Head Island, SC 29928","Hilton Head Island, SC",32.1696,-80.7394,86398,,,,,17,12,5,2,The Fresh Market,21017,24.325794578578208,24768,28.667330262274582,9408,10.88914095233686,3857,4.464223709,2360,2.731544711683141,42045,48.66432093335494,3960,4.583439431468321,,,,,,,,The Fresh Market Shoppes - Property Brochure.pdf,pdfs/The Fresh Market Shoppes - Property Brochure.pdf,2,site_plan_images/brx036-the-fresh-market-shoppes-site-plan.png
BRX037,Three Village Shopping Center,Brixmor,"1365-1384 Route 25A | East Setauket, NY 11733","East Setauket, NY",40.9362,-73.1091,77458,,,,,12,16,2,1,,0,0,4900,6.326008933873842,7800,10.069973404942033,4913,6.342792222882078,1200,1.5492266776833896,9170,11.838673861963905,49475,63.87332489865476,,,,,,,,Three Village Shopping Center - Property Brochure.pdf,pdfs/Three Village Shopping Center - Property Brochure.pdf,2,site_plan_images/brx037-three-village-shopping-center-site-plan.png
BRX038,Tinton Falls Plaza,Brixmor,"980 Shrewsbury Ave | Tinton Falls, NJ 07724","Tinton Falls, NJ",40.312,-74.0672,87760,,,,,13,6,5,2,,0,0,6603,7.523928896991795,19456,22.16955332725616,0,0,10627,12.109161349134002,51074,58.19735642661805,0,0,,,,,,,,Tinton Falls Plaza - Property Brochure.pdf,pdfs/Tinton Falls Plaza - Property Brochure.pdf,2,site_plan_images/brx038-tinton-falls-plaza-site-plan.png
BRX039,Unity Plaza,Brixmor,"829 NY-82 | Hopewell Junction, NY 12533","Hopewell Junction, NY",41.5798,-73.8121,67462,,,,,9,6,2,1,Acme Markets,47580,70.52859387507041,47580,70.52859387507041,6400,9.486822211,5200,7.708043046455783,3200,4.743411106,1393,2.064866146867866,0,0,,,,,,,,Unity Plaza - Property Brochure.pdf,pdfs/Unity Plaza - Property Brochure.pdf,2,site_plan_images/brx039-unity-plaza-site-plan.png
BRX040,Village Square Shopping Center,Brixmor,"1262 Boston Post Road | Larchmont, NY 10538","Larchmont, NY",40.9383,-73.7462,17000,,,,,4,4,0,1,Trader Joe's,12400,72.94117647058823,13272,78.07058823529411,0,0,0,0,1762,10.364705882352942,0,0,1966,11.56470588235294,,,,,,,,Village Square Shopping Center - Property Brochure.pdf,pdfs/Village Square Shopping Center - Property Brochure.pdf,2,site_plan_images/brx040-village-square-shopping-center-site-plan.png
