Project ID,Project Name,Owner,City/State,Unit,Tenant,Tenant SF,Tenant Category,Original Category,Main Mix Group,Size Bucket,Is Grocery,Is Available,Is Anchor by SF,Explicit Anchor,0-10K Store,Manual Check Notes,TJ Address,PDF File,PDF Path,Site Plan Image Path
115700,Old Town Plaza,Kimco,,17,Romy Salon,1988,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,115700-old-town-plaza-marketing-package.pdf,,
115700,Old Town Plaza,Kimco,,18,Zandra's Taqueria,2500,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,115700-old-town-plaza-marketing-package.pdf,,
115700,Old Town Plaza,Kimco,,19,Samson Properties,7404,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,115700-old-town-plaza-marketing-package.pdf,,
115700,Old Town Plaza,Kimco,,20,"Kalbaugh, Pfund & Messersmith 5,210",21,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,115700-old-town-plaza-marketing-package.pdf,,
115700,Old Town Plaza,Kimco,,21,Crestline Hotels,5577,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,115700-old-town-plaza-marketing-package.pdf,,
115700,Old Town Plaza,Kimco,,22,Kramer Elias,3909,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,115700-old-town-plaza-marketing-package.pdf,,
115700,Old Town Plaza,Kimco,,23,Available,5420,Vacancy,,Vacancy,3k-10k,FALSE,TRUE,FALSE,,,,,115700-old-town-plaza-marketing-package.pdf,,
101240,Center at Missouri,Kimco,,1,UFC Gym,25121,Fitness,,Service,10k+,FALSE,FALSE,TRUE,,,,,101240-center-at-missouri-avenue-marketing-package.pdf,,
101240,Center at Missouri,Kimco,,2,Gabe's,58374,Other,,Other,10k+,FALSE,FALSE,TRUE,,,,,101240-center-at-missouri-avenue-marketing-package.pdf,,
101240,Center at Missouri,Kimco,,3,Phillys Famous Cheesesteak,1200,Coffee / Dessert,,Food,0-3k,FALSE,FALSE,FALSE,,,,,101240-center-at-missouri-avenue-marketing-package.pdf,,
101240,Center at Missouri,Kimco,,4,Boudoir Nails & Spa,600,Beauty,,Soft Goods,0-3k,FALSE,FALSE,FALSE,,,,,101240-center-at-missouri-avenue-marketing-package.pdf,,
101240,Center at Missouri,Kimco,,5,Available,4950,Vacancy,,Vacancy,3k-10k,FALSE,TRUE,FALSE,,,,,101240-center-at-missouri-avenue-marketing-package.pdf,,
101240,Center at Missouri,Kimco,,6,Pro Pulse Medical Supply,1500,Medical,,Service,0-3k,FALSE,FALSE,FALSE,,,,,101240-center-at-missouri-avenue-marketing-package.pdf,,
101240,Center at Missouri,Kimco,,7,Sanitas Medical Centers,10790,Medical,,Service,10k+,FALSE,FALSE,TRUE,,,,,101240-center-at-missouri-avenue-marketing-package.pdf,,
101240,Center at Missouri,Kimco,,9,Aldi,20800,Grocery,,Food,10k+,TRUE,FALSE,TRUE,,,,,101240-center-at-missouri-avenue-marketing-package.pdf,,
101240,Center at Missouri,Kimco,,10,Verizon Wireless,5500,Telecom,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,101240-center-at-missouri-avenue-marketing-package.pdf,,
101240,Center at Missouri,Kimco,,11,Amscot Corporation,2232,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,101240-center-at-missouri-avenue-marketing-package.pdf,,
120780,West Alex,Kimco,,2,Koncept Nail Spa,3613,Beauty,,Soft Goods,3k-10k,FALSE,FALSE,FALSE,,,,,120780-west-alex-marketing-package.pdf,,
120780,West Alex,Kimco,,3,Dr. Kishore Thammineni DDS,2025,Medical,,Service,0-3k,FALSE,FALSE,FALSE,,,,,120780-west-alex-marketing-package.pdf,,
120780,West Alex,Kimco,,4,PACS Urgent Care,2500,Medical,,Service,0-3k,FALSE,FALSE,FALSE,,,,,120780-west-alex-marketing-package.pdf,,
