Prototype,Adjacent Tenant Records,Top Category,Top Category Count,Top Category Share,Top Store,Top Store Count,Top Store Share
Branch,30,Apparel / Soft Goods,9,0.3,Available; Ross; Ulta Beauty,2,0.0667
C-Shape,15,Apparel / Soft Goods; Hard Goods; Other Retail,3,0.2,5.11 Tactical; AAA Southern New England; Barnes & Noble; Burlington; Dollar Tree; Five Below; J.Crew Factory; LA-Z-Boy; Michaels; Music and Arts Centers; Nancy's Pizza; Orangetheory Fitness; PetSmart; Town and Country Hardware; Woof Gang Bakery & Grooming,1,0.0667
Cluster,4,Service / Bank; Vacancy,2,0.5,Available,2,0.5
Mall / Destination,2,Furniture / Home,2,1.0,Mattress Firm Hanover Mall; WorldMarket,1,0.5
Spine,47,Food & Beverage,9,0.1915,Available,3,0.0638
Standalone,2,Beauty / Personal Care,2,1.0,Everything's Hair Limited; Nail House,1,0.5
Urban Context,12,Food & Beverage,6,0.5,A.T. O'Keeffe's; BKBX fitness; Bank of America; Chase Bank; Chipotle; Creative Office Resources; Dani’s Queer Bar; Dumpling Daughter Brookline; Free People; Mecha Noodle Bar; Needham Bank; Sloane's Restaurant,1,0.0833
